Country1,Country2,Sentence
France,Austria,"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary."
France,Hungary,"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary."
Austria,Hungary,"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary."
Germany,Russia,"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia."
Germany,Italy,"Germany, 1933 Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922."
Germany,Germany,"When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy."
Austria,Austria,"Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938."
Austria,Germany,"Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938."
Austria,Germany,"Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938."
Czech Republic,France,"The signing of the Molotov–Ribbentrop Pact in Moscow, 23 August 1939 Soon after the events in Czech Republic, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list."
Czech Republic,Poland,"The signing of the Molotov–Ribbentrop Pact in Moscow, 23 August 1939 Soon after the events in Czech Republic, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list."
France,Poland,"The signing of the Molotov–Ribbentrop Pact in Moscow, 23 August 1939 Soon after the events in Czech Republic, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list."
France,Germany,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible."
France,Poland,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible."
Germany,Poland,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible."
Poland,Germany,"As Hitler's forces conquered Poland, the Soviet Union, under General Secretary Joseph Stalin, was acting out guarantees of territory under a secret part of a nonaggression pact between the Soviet Union and Germany known as the Molotov–Ribbentrop Pact."
Estonia,Latvia,"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war."
Estonia,Lithuania,"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war."
Latvia,Lithuania,"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war."
Netherlands,Luxembourg,"All of this changed on 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg), likely to surmount the Maginot Line of defenses on the Franco-German border."
Denmark,Norway,"Following the conquest of the Low Countries, Hitler occupied Denmark and Norway, beginning on 9 April 1940."
Norway,Denmark,"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours."
Sweden,Germany,"Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies."
Greece,Albania,"However, a pro-allied coup in Yugoslavia and Mussolini's almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time."
Greece,Greece,"However, a pro-allied coup in Yugoslavia and Mussolini's almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time."
Albania,Greece,"However, a pro-allied coup in Yugoslavia and Mussolini's almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time."
Ukraine,Belarus,"Throughout 1941, German forces, divided into 3 army groups (Army Group A, Army Group B, and Army Group C), occupied the territories of the present day Ukraine and Belarus, laid siege to Leningrad (present day Saint Petersburg), and advanced to within 15 miles of Moscow."
Libya,Egypt,Mussolini had launched an offensive in North Africa from Italian-controlled Libya into British-controlled Egypt.
Iraq,Iran,"However, Hitler, embroiled in his invasion of the Soviet Union, refused to send Rommel any more troops, causing Rommel to retreat and preventing him from seizing the Middle East, where Axis-friendly regimes had taken root in Iraq and Persia (present-day Iran)."
Japan,Germany,"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didn't bind Germany to do so."
Japan,Russia,"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia."
Germany,Italy,Both Germany and Italy declared war on the United States a few days after the attack.
Morocco,Algeria,"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942."
France,Germany,"Rommel, who was now in charge of defending France against possible Allied attack, thought the Allies would not attack during the stormy weather, and was on holiday in Germany."
Poland,Germany,"The Soviets launched a devastating attack from Poland into Germany and Eastern Europe, intending to take Berlin."
Japan,Germany,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy."
Japan,Italy,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy."
Germany,Italy,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy."
Japan,Thailand,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines."
Japan,Singapore,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines."
Japan,Philippines,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines."
Thailand,Singapore,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines."
Thailand,Philippines,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines."
Singapore,Philippines,"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines."
Philippines,Australia,"In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia."
Solomon Islands,Japan,"The losses suffered during this Battle of Midway, paired with the campaign of attrition that was taking place in Solomon Islands, left Japan unable to replenish its forces and turned the tides of war against it."
India,Japan,"Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers."
Russia,France,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
Russia,India,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
Russia,Pakistan,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
Russia,Israel,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
France,India,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
France,Pakistan,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
France,Israel,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
India,Pakistan,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
India,Israel,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
Pakistan,Israel,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea."
South Africa,Israel,"South Africa developed six crude weapons in the 1980s (which it later dismantled), and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it."
Libya,Iran,"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs."
Germany,France,"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union."
Japan,United States,"Japan was also placed under United States occupation, that would last seven years, until 1952."
India,India,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
India,Pakistan,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
India,Pakistan,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971."
Laos,Cambodia,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam."
Laos,Vietnam,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam."
Cambodia,Vietnam,"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam."
Kenya,Ghana,"In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule."
Latvia,Estonia,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Latvia,Lithuania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Latvia,Finland,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Latvia,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Estonia,Lithuania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Estonia,Finland,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Estonia,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Lithuania,Finland,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Lithuania,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Finland,Romania,"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union."
Albania,Bulgaria,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Poland,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Romania,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Albania,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Poland,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Romania,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Bulgaria,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Poland,Romania,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Poland,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Poland,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Romania,Czech Republic,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Romania,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Czech Republic,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics."
Mongolia,Cuba,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam."
Mongolia,Vietnam,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam."
Cuba,Vietnam,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam."
Canada,Australia,"General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion."
Russia,Japan,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada."
Russia,Canada,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada."
Japan,Canada,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada."
Finland,Germany,"^ ""Why Finland allied itself with Nazi Germany | Letter""."
Germany,Norway,"^ ""Germany's Invasion of Denmark and Norway""."
Italy,Japan,"^ ""The Avalon Project: Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940""."
Iran,Iran,"^ ""Major milestones of Iran's nuclear programme | Iran | Al Jazeera""."
Romania,Russia,"The Moldovans: Romania, Russia, and the Politics of Culture."
